description,category,amount
Gaming mouse and keyboard,Shopping,4999.00
Theme park entry for family,Entertainment,6000.00
Rent paid via digital platform,Rent,16000.00
Pizza delivery fee only,Food,50.00
Car rental for weekend,Transport,2500.00
Life insurance premium,Utilities,8000.00
Paid software subscription,Utilities,1500.00
Gourmet chocolates purchase,Shopping,1200.00
Hotel cancellation fee,Travel,500.00
Musical concert tickets,Entertainment,4500.00
New water heater installation,Utilities,9500.00
Road trip snacks and drinks,Food,750.00
Local public transport day pass,Transport,120.00
Gift wrapping paper,Shopping,100.00
Online movie purchase (digital),Entertainment,699.00
Travel visa fees,Travel,7000.00
Home internet setup fee,Utilities,500.00
Brunch at a local cafe,Food,850.00
Toll charges on highway,Transport,300.00
New curtains for living room,Shopping,2200.00
Subscription to educational platform,Entertainment,2000.00
Rent deposit security payment,Rent,20000.00
Cooking oil and spices,Food,450.00
Taxi service tip,Transport,50.00
Home gardening tools,Shopping,900.00
Music streaming monthly fee,Entertainment,99.00
Travel insurance plan,Travel,1200.00
Gasoline purchase,Transport,2800.00
Window repair service,Utilities,4000.00
Fast food combo meal,Food,550.00
Bus ticket reservation fee,Transport,50.00
Camping gear rental,Travel,1500.00
Online magazine subscription,Entertainment,199.00
Apartment security service fee,Rent,800.00
Pet vaccination fee,Utilities,1500.00
Bakery items and coffee,Food,600.00
Flight check-in baggage fee,Travel,1800.00
New phone charger cable,Shopping,450.00
Monthly cleaning supplies,Shopping,750.00
Public transport monthly pass,Transport,1200.00
Utility bill deposit,Utilities,2000.00
Book purchase from local shop,Shopping,650.00
Theatre tickets,Entertainment,1100.00
Car wash service,Transport,400.00
Travel backpack,Travel,4500.00
Annual home insurance,Utilities,9000.00
Sandwich and juice,Food,300.00
Taxis in a foreign city,Transport,1500.00
New video game,Entertainment,4999.00
Software subscription service,Utilities,800.00
Souvenir gift purchase,Shopping,1500.00
Trek permit fee,Travel,800.00
Dinner takeout order,Food,1200.00
Local street food,Food,100.00
Tuktuk ride fare,Transport,70.00
Water heater repair,Utilities,1200.00
New wallet,Shopping,1100.00
Online learning platform access,Entertainment,3500.00
Holiday villa rental,Travel,45000.00
Cleaning supplies bundle,Shopping,1500.00
Electrician service fee,Utilities,900.00
Lunch buffet,Food,999.00
Bike fuel refill,Transport,800.00
Movie tickets advance booking,Entertainment,700.00
New headphones,Shopping,3500.00
Domestic train travel,Transport,1800.00
Annual subscription for a tool,Utilities,2500.00
Groceries and pantry items,Food,3500.00
Hotel room service,Food,1500.00
Airport parking fee,Transport,500.00
Tourist attraction entry fee,Entertainment,600.00
New pair of shoes,Shopping,4500.00
Trekking equipment purchase,Shopping,12000.00
Long distance bus ticket,Travel,800.00
Car servicing package,Transport,5000.00
Mobile data pack recharge,Utilities,299.00
Fast food drive thru,Food,650.00
Taxi to meeting,Transport,450.00
Vacation package booking,Travel,60000.00
Concert merchandise,Shopping,2000.00
Music festival ticket,Entertainment,7000.00
Washing machine repair,Utilities,3500.00
Monthly rent,Rent,18000.00
Coffee shop morning order,Food,250.00
Motorway toll charges,Transport,450.00
House painting service,Utilities,25000.00
New jacket purchase,Shopping,5500.00
Museum entrance,Entertainment,150.00
Car insurance renewal,Utilities,15000.00
Local cuisine street food,Food,150.00
Ferry transport fee,Transport,200.00
Hotel spa treatment,Travel,4000.00
Online gaming subscription,Entertainment,499.00
Kitchen appliance repair,Utilities,2800.00
Dinner with colleagues,Food,2800.00
Bus ticket to neighboring town,Transport,250.00
New phone screen protector,Shopping,300.00
Theme park passes,Entertainment,2500.00
Passport renewal fee,Travel,4500.00
Home cleaning product purchase,Shopping,500.00
Utility bill deposit refund,Utilities,0.00
Late night snack delivery,Food,400.00
Motorbike insurance,Utilities,2800.00
International flight ticket,Travel,85000.00
Art workshop fee,Entertainment,1500.00

